Year,Geographical Description,ONS Code,Measure Group,Measure Group Description,Measure_Value,Geographical Level,Disaggregation Level,Measure Type
2017-18,South East,E12000008,1B,The proportion of people who use services who have control over their daily life,80.2,Region,Total,Outcome
2017-18,South Gloucestershire,E06000025,1B,The proportion of people who use services who have control over their daily life,81.5,Council,Total,Outcome
2017-18,South Tyneside,E08000023,1B,The proportion of people who use services who have control over their daily life,77.7,Council,Total,Outcome
2017-18,South West,E12000009,1B,The proportion of people who use services who have control over their daily life,79.3,Region,Total,Outcome
2017-18,Southampton,E06000045,1B,The proportion of people who use services who have control over their daily life,84.6,Council,Total,Outcome
2017-18,Southend-on-Sea,E06000033,1B,The proportion of people who use services who have control over their daily life,79.3,Council,Total,Outcome
2017-18,Southwark,E09000028,1B,The proportion of people who use services who have control over their daily life,70.0,Council,Total,Outcome
2017-18,St. Helens,E08000013,1B,The proportion of people who use services who have control over their daily life,76.3,Council,Total,Outcome
2017-18,Staffordshire,E10000028,1B,The proportion of people who use services who have control over their daily life,76.4,Council,Total,Outcome
2017-18,Stockport,E08000007,1B,The proportion of people who use services who have control over their daily life,73.6,Council,Total,Outcome
2017-18,Stockton-on-Tees,E06000004,1B,The proportion of people who use services who have control over their daily life,80.1,Council,Total,Outcome
2017-18,Stoke-on-Trent,E06000021,1B,The proportion of people who use services who have control over their daily life,72.7,Council,Total,Outcome
2017-18,Suffolk,E10000029,1B,The proportion of people who use services who have control over their daily life,82.1,Council,Total,Outcome
2017-18,Sunderland,E08000024,1B,The proportion of people who use services who have control over their daily life,81.2,Council,Total,Outcome
2017-18,Surrey,E10000030,1B,The proportion of people who use services who have control over their daily life,80.0,Council,Total,Outcome
2017-18,Sutton,E09000029,1B,The proportion of people who use services who have control over their daily life,74.1,Council,Total,Outcome
2017-18,Swindon,E06000030,1B,The proportion of people who use services who have control over their daily life,78.1,Council,Total,Outcome
2017-18,Tameside,E08000008,1B,The proportion of people who use services who have control over their daily life,79.6,Council,Total,Outcome
2017-18,Telford and the Wrekin,E06000020,1B,The proportion of people who use services who have control over their daily life,77.5,Council,Total,Outcome
2017-18,Thurrock,E06000034,1B,The proportion of people who use services who have control over their daily life,79.9,Council,Total,Outcome
2017-18,Torbay,E06000027,1B,The proportion of people who use services who have control over their daily life,80.6,Council,Total,Outcome
2017-18,Tower Hamlets,E09000030,1B,The proportion of people who use services who have control over their daily life,70.3,Council,Total,Outcome
2017-18,Trafford,E08000009,1B,The proportion of people who use services who have control over their daily life,78.2,Council,Total,Outcome
2017-18,Unitary Authorities,,1B,The proportion of people who use services who have control over their daily life,79.8,Council type,Total,Outcome
2017-18,Wakefield,E08000036,1B,The proportion of people who use services who have control over their daily life,78.5,Council,Total,Outcome
2017-18,Walsall,E08000030,1B,The proportion of people who use services who have control over their daily life,76.3,Council,Total,Outcome
2017-18,Waltham Forest,E09000031,1B,The proportion of people who use services who have control over their daily life,71.6,Council,Total,Outcome
2017-18,Wandsworth,E09000032,1B,The proportion of people who use services who have control over their daily life,74.5,Council,Total,Outcome
2017-18,Warrington,E06000007,1B,The proportion of people who use services who have control over their daily life,77.0,Council,Total,Outcome
2017-18,Warwickshire,E10000031,1B,The proportion of people who use services who have control over their daily life,76.7,Council,Total,Outcome
2017-18,West Berkshire,E06000037,1B,The proportion of people who use services who have control over their daily life,79.2,Council,Total,Outcome
2017-18,West Midlands,E12000005,1B,The proportion of people who use services who have control over their daily life,77.1,Region,Total,Outcome
2017-18,West Sussex,E10000032,1B,The proportion of people who use services who have control over their daily life,77.2,Council,Total,Outcome
2017-18,Westminster,E09000033,1B,The proportion of people who use services who have control over their daily life,70.8,Council,Total,Outcome
2017-18,Wigan,E08000010,1B,The proportion of people who use services who have control over their daily life,76.3,Council,Total,Outcome
2017-18,Wiltshire,E06000054,1B,The proportion of people who use services who have control over their daily life,82.2,Council,Total,Outcome
2017-18,Windsor and Maidenhead,E06000040,1B,The proportion of people who use services who have control over their daily life,78.5,Council,Total,Outcome
2017-18,Wirral,E08000015,1B,The proportion of people who use services who have control over their daily life,82.1,Council,Total,Outcome
2017-18,Wokingham,E06000041,1B,The proportion of people who use services who have control over their daily life,82.9,Council,Total,Outcome
2017-18,Wolverhampton,E08000031,1B,The proportion of people who use services who have control over their daily life,75.0,Council,Total,Outcome
2017-18,Worcestershire,E10000034,1B,The proportion of people who use services who have control over their daily life,80.1,Council,Total,Outcome
2017-18,York,E06000014,1B,The proportion of people who use services who have control over their daily life,75.1,Council,Total,Outcome
2017-18,Yorkshire and the Humber,E12000003,1B,The proportion of people who use services who have control over their daily life,78.2,Region,Total,Outcome
2017-18,Barking and Dagenham,E09000002,1C1A,The proportion of people who use services who receive self-directed support,89.5,Council,Total,Outcome
2017-18,Barnet,E09000003,1C1A,The proportion of people who use services who receive self-directed support,91.6,Council,Total,Outcome
2017-18,Barnsley,E08000016,1C1A,The proportion of people who use services who receive self-directed support,93.1,Council,Total,Outcome
2017-18,Bath and North East Somerset,E06000022,1C1A,The proportion of people who use services who receive self-directed support,90.8,Council,Total,Outcome
2017-18,Bedford,E06000055,1C1A,The proportion of people who use services who receive self-directed support,71.0,Council,Total,Outcome
2017-18,Bexley,E09000004,1C1A,The proportion of people who use services who receive self-directed support,80.4,Council,Total,Outcome
2017-18,Birmingham,E08000025,1C1A,The proportion of people who use services who receive self-directed support,100.0,Council,Total,Outcome
2017-18,Blackburn with Darwen,E06000008,1C1A,The proportion of people who use services who receive self-directed support,85.1,Council,Total,Outcome
2017-18,Blackpool,E06000009,1C1A,The proportion of people who use services who receive self-directed support,100.0,Council,Total,Outcome
2017-18,Bolton,E08000001,1C1A,The proportion of people who use services who receive self-directed support,89.6,Council,Total,Outcome
2017-18,Bournemouth,E06000028,1C1A,The proportion of people who use services who receive self-directed support,100.0,Council,Total,Outcome
2017-18,Bracknell Forest,E06000036,1C1A,The proportion of people who use services who receive self-directed support,100.0,Council,Total,Outcome
2017-18,Bradford,E08000032,1C1A,The proportion of people who use services who receive self-directed support,81.8,Council,Total,Outcome
2017-18,Brent,E09000005,1C1A,The proportion of people who use services who receive self-directed support,100.0,Council,Total,Outcome
2017-18,Brighton and Hove,E06000043,1C1A,The proportion of people who use services who receive self-directed support,90.0,Council,Total,Outcome
2017-18,Bristol,E06000023,1C1A,The proportion of people who use services who receive self-directed support,72.7,Council,Total,Outcome
2017-18,Bromley,E09000006,1C1A,The proportion of people who use services who receive self-directed support,82.3,Council,Total,Outcome
2017-18,Buckinghamshire,E10000002,1C1A,The proportion of people who use services who receive self-directed support,100.0,Council,Total,Outcome
2017-18,Bury,E08000002,1C1A,The proportion of people who use services who receive self-directed support,99.9,Council,Total,Outcome
2017-18,Calderdale,E08000033,1C1A,The proportion of people who use services who receive self-directed support,99.4,Council,Total,Outcome
2017-18,Cambridgeshire,E10000003,1C1A,The proportion of people who use services who receive self-directed support,98.8,Council,Total,Outcome
2017-18,Camden,E09000007,1C1A,The proportion of people who use services who receive self-directed support,97.7,Council,Total,Outcome
2017-18,Central Bedfordshire,E06000056,1C1A,The proportion of people who use services who receive self-directed support,99.7,Council,Total,Outcome
2017-18,Cheshire East,E06000049,1C1A,The proportion of people who use services who receive self-directed support,96.7,Council,Total,Outcome
2017-18,Cheshire West and Chester,E06000050,1C1A,The proportion of people who use services who receive self-directed support,99.7,Council,Total,Outcome
2017-18,City of London,E09000001,1C1A,The proportion of people who use services who receive self-directed support,100.0,Council,Total,Outcome
2017-18,Cornwall,E06000052,1C1A,The proportion of people who use services who receive self-directed support,93.2,Council,Total,Outcome
2017-18,Coventry,E08000026,1C1A,The proportion of people who use services who receive self-directed support,87.7,Council,Total,Outcome
2017-18,Croydon,E09000008,1C1A,The proportion of people who use services who receive self-directed support,89.7,Council,Total,Outcome
2017-18,Cumbria,E10000006,1C1A,The proportion of people who use services who receive self-directed support,98.7,Council,Total,Outcome
2017-18,Darlington,E06000005,1C1A,The proportion of people who use services who receive self-directed support,98.0,Council,Total,Outcome
2017-18,Derby,E06000015,1C1A,The proportion of people who use services who receive self-directed support,100.0,Council,Total,Outcome
2017-18,Derbyshire,E10000007,1C1A,The proportion of people who use services who receive self-directed support,96.5,Council,Total,Outcome
2017-18,Devon,E10000008,1C1A,The proportion of people who use services who receive self-directed support,97.1,Council,Total,Outcome
2017-18,Doncaster,E08000017,1C1A,The proportion of people who use services who receive self-directed support,77.1,Council,Total,Outcome
2017-18,Dorset,E10000009,1C1A,The proportion of people who use services who receive self-directed support,96.7,Council,Total,Outcome
